"Date","Price","Open","High","Low","Vol.","Change %"
"11/13/2021","0.43704","0.45237","0.47135","0.43603","124.33M","-3.37%"
"11/12/2021","0.45227","0.43202","0.47633","0.43101","309.68M","4.68%"
"11/11/2021","0.43204","0.40696","0.45189","0.40338","231.15M","5.98%"
"11/10/2021","0.40767","0.42550","0.45246","0.38567","281.72M","-4.19%"
"11/09/2021","0.42550","0.42237","0.43988","0.40752","194.78M","0.75%"
"11/08/2021","0.42234","0.39340","0.42938","0.38987","286.62M","7.33%"
"11/07/2021","0.39350","0.38510","0.39428","0.38322","69.09M","2.18%"
"11/06/2021","0.38510","0.39022","0.39565","0.37178","76.37M","-1.34%"
"11/05/2021","0.39033","0.39381","0.40399","0.38592","118.19M","-0.88%"
"11/04/2021","0.39381","0.39047","0.39548","0.37812","117.39M","0.84%"
"11/03/2021","0.39052","0.39661","0.39700","0.37680","123.52M","-1.54%"
"11/02/2021","0.39661","0.39984","0.40087","0.39080","127.53M","-0.80%"
"11/01/2021","0.39979","0.40700","0.43363","0.39121","163.15M","-1.73%"
"10/31/2021","0.40685","0.41855","0.46532","0.38982","339.74M","-2.68%"
"10/30/2021","0.41806","0.38986","0.43878","0.38540","377.37M","7.32%"
"10/29/2021","0.38955","0.37028","0.39763","0.36924","130.84M","5.23%"
"10/28/2021","0.37020","0.35017","0.37838","0.35014","167.61M","5.91%"
"10/27/2021","0.34954","0.39129","0.39935","0.32922","286.51M","-10.67%"
"10/26/2021","0.39129","0.38697","0.41416","0.38137","210.99M","1.18%"
"10/25/2021","0.38672","0.36683","0.38994","0.36453","137.46M","5.41%"
"10/24/2021","0.36687","0.37933","0.37933","0.35737","104.53M","-3.32%"
"10/23/2021","0.37948","0.37839","0.38143","0.36823","91.91M","0.30%"
"10/22/2021","0.37833","0.37853","0.39081","0.37217","105.43M","-0.05%"
"10/21/2021","0.37853","0.40257","0.40780","0.37238","166.65M","-5.97%"
"10/20/2021","0.40257","0.37525","0.40861","0.36902","254.87M","7.23%"
"10/19/2021","0.37542","0.35676","0.37891","0.35051","158.40M","5.14%"
"10/18/2021","0.35707","0.35485","0.36869","0.34605","148.33M","0.63%"
"10/17/2021","0.35485","0.37250","0.37525","0.34199","127.74M","-4.44%"
"10/16/2021","0.37132","0.36385","0.37824","0.36348","111.17M","2.05%"
"10/15/2021","0.36385","0.38881","0.38882","0.35754","170.19M","-6.36%"
"10/14/2021","0.38857","0.35792","0.39984","0.35269","212.27M","8.54%"
"10/13/2021","0.35800","0.34899","0.36026","0.34023","130.03M","2.45%"
"10/12/2021","0.34942","0.34387","0.35854","0.32081","175.48M","1.62%"
"10/11/2021","0.34387","0.33912","0.36251","0.33493","130.51M","1.29%"
"10/10/2021","0.33950","0.37085","0.37112","0.33678","120.12M","-8.45%"
"10/09/2021","0.37083","0.37346","0.37770","0.36410","125.53M","-0.67%"
"10/08/2021","0.37333","0.37775","0.39080","0.36941","152.36M","-1.17%"
"10/07/2021","0.37775","0.38077","0.39148","0.36530","221.64M","-0.76%"
"10/06/2021","0.38063","0.40307","0.40799","0.36278","216.05M","-5.46%"
"10/05/2021","0.40262","0.40447","0.42191","0.38600","205.51M","-0.40%"
"10/04/2021","0.40424","0.39904","0.42733","0.37788","321.64M","1.28%"
"10/03/2021","0.39912","0.38585","0.41935","0.37510","240.80M","3.29%"
"10/02/2021","0.38640","0.36487","0.41742","0.35734","263.03M","5.90%"
"10/01/2021","0.36487","0.33805","0.36975","0.32799","206.95M","7.98%"
"09/30/2021","0.33790","0.31080","0.34300","0.30870","118.60M","8.68%"
"09/29/2021","0.31090","0.30350","0.32660","0.30010","113.39M","2.37%"
"09/28/2021","0.30370","0.31930","0.32610","0.30220","105.66M","-4.89%"
"09/27/2021","0.31930","0.33450","0.35310","0.31820","116.30M","-4.52%"
"09/26/2021","0.33440","0.34150","0.34560","0.30670","141.36M","-2.14%"
"09/25/2021","0.34170","0.34980","0.35770","0.32530","132.63M","-2.54%"
"09/24/2021","0.35060","0.38300","0.38420","0.31590","293.89M","-8.39%"
"09/23/2021","0.38270","0.36700","0.39340","0.35850","211.12M","4.42%"
"09/22/2021","0.36650","0.30520","0.38040","0.29960","278.58M","20.28%"
"09/21/2021","0.30470","0.33980","0.35520","0.28920","347.55M","-10.14%"
"09/20/2021","0.33910","0.39690","0.39690","0.31470","349.09M","-14.43%"
